iter	Passed	Remaining
0	188	188755
1	217	108285
2	248	82501
3	280	69740
4	306	61039
5	339	56231
6	362	51394
7	373	46325
8	403	44447
9	424	42044
10	456	41021
11	468	38535
12	499	37944
13	532	37511
14	564	37075
15	585	36037
16	617	35706
17	652	35595
18	668	34539
19	700	34346
20	733	34188
21	760	33804
22	776	32983
23	808	32895
24	820	31987
25	841	31505
26	847	30536
27	878	30510
28	911	30507
29	922	29826
30	958	29957
31	984	29789
32	1017	29807
33	1043	29661
34	1075	29660
35	1092	29255
36	1123	29248
37	1156	29270
38	1167	28778
39	1173	28175
40	1204	28184
41	1236	28207
42	1268	28238
43	1280	27817
44	1312	27845
45	1344	27891
46	1376	27904
47	1408	27936
48	1440	27962
49	1472	27980
50	1504	28003
51	1532	27943
52	1568	28023
53	1584	27761
54	1615	27762
55	1648	27782
56	1654	27370
57	1686	27395
58	1703	27176
59	1729	27097
60	1761	27110
61	1787	27040
62	1818	27048
63	1850	27062
64	1882	27083
65	1914	27097
66	1946	27106
67	1978	27112
68	2010	27123
69	2041	27122
70	2074	27138
71	2104	27129
72	2135	27123
73	2167	27118
74	2199	27127
75	2231	27128
76	2242	26885
77	2274	26888
78	2285	26649
79	2317	26649
80	2351	26674
81	2382	26670
82	2413	26669
83	2430	26508
84	2462	26508
85	2494	26510
86	2526	26515
87	2558	26514
88	2590	26512
89	2622	26514
90	2653	26508
91	2685	26505
92	2717	26506
93	2749	26501
94	2780	26488
95	2811	26477
96	2842	26463
97	2863	26357
98	2895	26352
99	2928	26355
100	2959	26345
101	2994	26364
102	3025	26350
103	3057	26339
104	3088	26325
105	3109	26229
106	3142	26224
107	3172	26206
108	3205	26200
109	3236	26185
110	3268	26178
111	3300	26167
112	3331	26153
113	3347	26019
114	3381	26020
115	3414	26017
116	3448	26023
117	3479	26006
118	3514	26016
119	3546	26004
120	3577	25989
121	3609	25977
122	3641	25964
123	3673	25951
124	3705	25937
125	3736	25919
126	3767	25899
127	3800	25892
128	3834	25887
129	3865	25869
130	3896	25846
131	3928	25830
132	3954	25777
133	3986	25762
134	4018	25745
135	4050	25732
136	4077	25683
137	4109	25668
138	4140	25646
139	4171	25625
140	4203	25609
141	4235	25589
142	4265	25566
143	4297	25544
144	4328	25525
145	4360	25508
146	4394	25498
147	4426	25481
148	4458	25464
149	4489	25442
150	4522	25425
151	4556	25422
152	4587	25398
153	4619	25374
154	4650	25351
155	4680	25325
156	4713	25308
157	4744	25285
158	4775	25259
159	4807	25238
160	4839	25218
161	4870	25196
162	4902	25173
163	4934	25154
164	4965	25129
165	4996	25105
166	5028	25081
167	5059	25054
168	5090	25032
169	5122	25009
170	5153	24986
171	5185	24963
172	5217	24939
173	5250	24922
174	5281	24898
175	5312	24873
176	5344	24851
177	5375	24824
178	5412	24825
179	5443	24798
180	5474	24772
181	5506	24747
182	5537	24722
183	5568	24696
184	5600	24671
185	5632	24650
186	5665	24629
187	5696	24603
188	5728	24581
189	5759	24555
190	5791	24531
191	5823	24507
192	5854	24478
193	5884	24449
194	5916	24424
195	5948	24400
196	5979	24375
197	6011	24351
198	6043	24325
199	6074	24297
200	6106	24274
201	6139	24252
202	6171	24229
203	6202	24202
204	6234	24176
205	6265	24151
206	6302	24145
207	6334	24119
208	6366	24095
209	6398	24069
210	6431	24048
211	6463	24024
212	6495	24000
213	6526	23972
214	6558	23947
215	6590	23919
216	6621	23893
217	6653	23866
218	6685	23843
219	6717	23817
220	6749	23791
221	6781	23765
222	6812	23736
223	6844	23711
224	6876	23684
225	6908	23659
226	6939	23632
227	6971	23606
228	7004	23583
229	7036	23557
230	7069	23533
231	7102	23512
232	7135	23488
233	7166	23459
234	7198	23434
235	7230	23408
236	7262	23380
237	7293	23352
238	7325	23325
239	7357	23300
240	7389	23271
241	7420	23243
242	7453	23219
243	7485	23192
244	7516	23163
245	7548	23136
246	7579	23107
247	7612	23081
248	7643	23053
249	7675	23025
250	7707	22999
251	7738	22971
252	7770	22943
253	7802	22917
254	7834	22890
255	7867	22864
256	7901	22842
257	7934	22818
258	7967	22794
259	8003	22779
260	8039	22763
261	8076	22750
262	8112	22732
263	8143	22703
264	8175	22675
265	8207	22648
266	8240	22622
267	8271	22592
268	8303	22564
269	8337	22541
270	8372	22522
271	8409	22508
272	8447	22496
273	8484	22480
274	8520	22463
275	8556	22446
276	8593	22431
277	8630	22415
278	8666	22395
279	8707	22390
280	8746	22380
281	8782	22361
282	8817	22340
283	8852	22318
284	8886	22295
285	8921	22273
286	8957	22253
287	8998	22246
288	9061	22292
289	9099	22279
290	9144	22279
291	9193	22291
292	9230	22272
293	9264	22247
294	9319	22272
295	9360	22263
296	9396	22242
297	9434	22224
298	9472	22206
299	9510	22191
300	9550	22178
301	9630	22258
302	9684	22276
303	9734	22287
304	9795	22321
305	9831	22298
306	9867	22274
307	9906	22257
308	9943	22236
309	9981	22216
310	10022	22203
311	10061	22187
312	10099	22167
313	10141	22155
314	10177	22132
315	10215	22112
316	10252	22090
317	10287	22063
318	10323	22038
319	10357	22010
320	10394	21986
321	10429	21959
322	10463	21930
323	10507	21923
324	10564	21941
325	10637	21993
326	10676	21972
327	10713	21950
328	10750	21926
329	10785	21896
330	10820	21870
331	10855	21841
332	10887	21808
333	10921	21777
334	10953	21743
335	10985	21708
336	11015	21671
337	11046	21635
338	11078	21602
339	11110	21568
340	11141	21531
341	11172	21495
342	11203	21459
343	11235	21425
344	11267	21391
345	11303	21365
346	11343	21346
347	11382	21325
348	11419	21301
349	11455	21274
350	11487	21241
351	11523	21214
352	11562	21191
353	11600	21169
354	11635	21139
355	11670	21111
356	11706	21084
357	11739	21051
358	11773	21021
359	11805	20988
360	11838	20954
361	11870	20921
362	11905	20892
363	11941	20864
364	11975	20834
365	12021	20823
366	12060	20801
367	12098	20777
368	12133	20748
369	12169	20721
370	12206	20694
371	12240	20664
372	12273	20631
373	12307	20600
374	12342	20571
375	12374	20537
376	12409	20507
377	12442	20474
378	12476	20442
379	12507	20407
380	12541	20376
381	12571	20338
382	12604	20304
383	12634	20268
384	12665	20231
385	12697	20197
386	12728	20162
387	12760	20126
388	12791	20091
389	12824	20058
390	12855	20023
391	12887	19988
392	12918	19953
393	12949	19917
394	12980	19881
395	13010	19844
396	13041	19808
397	13073	19774
398	13106	19741
399	13144	19716
400	13175	19680
401	13207	19647
402	13240	19614
403	13272	19580
404	13309	19553
405	13340	19518
406	13372	19483
407	13403	19448
408	13436	19415
409	13468	19381
410	13500	19347
411	13536	19318
412	13571	19289
413	13604	19256
414	13637	19223
415	13670	19190
416	13701	19156
417	13733	19122
418	13766	19088
419	13798	19054
420	13829	19020
421	13861	18985
422	13896	18955
423	13930	18923
424	13963	18891
425	13995	18858
426	14028	18825
427	14061	18792
428	14093	18758
429	14128	18728
430	14163	18698
431	14197	18666
432	14232	18637
433	14267	18606
434	14300	18574
435	14333	18541
436	14369	18513
437	14405	18483
438	14440	18452
439	14479	18427
440	14512	18395
441	14547	18365
442	14582	18335
443	14615	18302
444	14648	18268
445	14683	18239
446	14718	18208
447	14750	18174
448	14783	18142
449	14818	18112
450	14853	18081
451	14886	18048
452	14922	18018
453	14955	17986
454	14989	17955
455	15022	17921
456	15056	17890
457	15090	17858
458	15124	17826
459	15157	17793
460	15190	17760
461	15223	17727
462	15254	17693
463	15286	17659
464	15319	17626
465	15354	17595
466	15388	17563
467	15421	17530
468	15456	17499
469	15491	17469
470	15525	17437
471	15559	17405
472	15595	17375
473	15629	17344
474	15679	17329
475	15736	17323
476	15779	17301
477	15831	17289
478	15877	17269
479	15923	17250
480	15967	17229
481	16009	17205
482	16052	17182
483	16094	17158
484	16139	17137
485	16188	17121
486	16237	17104
487	16292	17094
488	16335	17070
489	16394	17063
490	16441	17044
491	16502	17038
492	16554	17025
493	16598	17001
494	16641	16977
495	16702	16972
496	16764	16967
497	16822	16957
498	16872	16940
499	16918	16918
500	16962	16894
501	17004	16868
502	17048	16845
503	17088	16817
504	17134	16795
505	17177	16770
506	17215	16740
507	17248	16705
508	17281	16670
509	17314	16635
510	17346	16599
511	17380	16565
512	17413	16531
513	17446	16496
514	17481	16462
515	17516	16430
516	17551	16397
517	17586	16364
518	17621	16330
519	17659	16300
520	17694	16267
521	17727	16233
522	17760	16198
523	17795	16165
524	17830	16132
525	17863	16097
526	17896	16062
527	17931	16029
528	17966	15996
529	18001	15963
530	18042	15936
531	18077	15902
532	18112	15869
533	18144	15834
534	18177	15799
535	18210	15764
536	18245	15731
537	18279	15697
538	18312	15662
539	18346	15628
540	18379	15593
541	18414	15560
542	18448	15526
543	18483	15493
544	18518	15460
545	18552	15426
546	18586	15392
547	18619	15357
548	18657	15326
549	18692	15293
550	18728	15261
551	18764	15228
552	18799	15196
553	18835	15163
554	18869	15129
555	18902	15095
556	18936	15060
557	18970	15026
558	19003	14992
559	19036	14957
560	19070	14923
561	19103	14888
562	19137	14854
563	19170	14820
564	19206	14787
565	19240	14753
566	19275	14719
567	19308	14685
568	19341	14650
569	19376	14617
570	19408	14582
571	19441	14547
572	19474	14512
573	19508	14478
574	19541	14443
575	19573	14408
576	19605	14373
577	19638	14338
578	19670	14302
579	19707	14271
580	19744	14239
581	19782	14208
582	19819	14175
583	19854	14143
584	19891	14111
585	19927	14078
586	19963	14045
587	19999	14012
588	20048	13989
589	20086	13958
